QueryId,Query Description
407,Can I move the map and other UI elements?
406,what sword has the highest base damage in skyrim?
469,Should I gift my squadmates Chocolates or Tennyson?
468,How do I modify my weapons?
667,When do enemies regenerate health?
666,How much dodge do I get per point in Dexterity?
668,What are the effects of each attribute?
1386,Can you slow down pre-AD time progression in Civ V?
167,mobs keeps spawning in my house
548,What happens when someone teleports when Nautilus' Depth Charge is chasing them?
1097,"How do ""Perfect"" Fruits work?"
1352,"I'm getting a, ""Pixel format not accelerated"" error when I try to launch Minecraft"
504,At which exact point are the war assets and galactic readiness evaluated for the ending?
1379,Drop rate stack increase?
1022,How do I clean up radioactivity/radiation?
1329,Is there a fast way to get to the bottom of the Death Star?
889,At what rate do players and commanders receive resources per resource node?
741,What is the best place to level in a finished difficulty?
321,Why can't I upgrade the inside of my house?
960,What formula does religious pressure adhere to in Civ 5?
826,How do I keep up with the power curve?
721,How are the Battle Points you earn calculated?
92,Why am I still lagging in Star Craft II?
1520,How to host a Minecraft server (without using realms)?
212,How can I identify a counterfeit Xbox 360 controller?
1544,how to break blocks in MInecraft
1481,How do I unlock level 25 of Far Future?
780,Basic questions about Payday - The Heist
237,How do I ward properly in League of Legends?
423,"Why can't I receive the quest after ""Revealing the Unseen""?"
1438,What benefits does being a Jew give me?
1142,Do you receive Trading Cards at set intervals?
1395,Setup operators on Minecraft server
362,What is the best potion to make fast money and level alchemy?
69,How do I run Command & Conquer Gold on Windows 7 64-bit (in XP mode)?
1280,Does it matter which faction you join?
372,Is there any actual use for food in Skyrim?
371,How do I open the UberChest(TM)?
10,How should I learn to play Dwarf Fortress?
9,"What exactly is a ""cheese"" in Starcraft 2?"
1122,How does shyvana's q proc on-hit item effects
634,How can I switch between acts?
633,Do damage over time effects stack?
1169,When is the Evade chance calculated for enemy ships?
1428,What is the point of the super secret settings option in the video settings in minecraft 1.7?
929,Are some racers faster than others?
1431,"How does the ""Revive at Corpse"" option work?"
411,I shot someone with a stun gun and now he's dead. Could I still be considered a pacifist?
1376,a technical issue while assigning imperial items task
906,Is there any bonuses to complete optional quests?
907,What is the easiest way to gain Eridium?
1357,How do I fast travel in Batman Arkham Origins?
582,Skyrim: My Best Friend is a mass Murderer!
310,What do I lose when I quit a multiplayer game in BF3?
606,Do I need to worry about griefing PvP?
1239,"In XCOM: Enemy Unknown, which types of scenery are destructible?"
1191,The benefits of Java 64x (bit) version in minecraft
221,What different versions of xbox 360 are there? What is the hd for with xbox?
222,What are the differences in the difficulties?
1580,Why my Mob Grinder/Farm isn't working?
1319,Will I be able to do more quests?
159,How can I tell how long (more or less) it will take me to complete a game?
1341,how to level up quicker in borderland 2
1282,"How do I complete ""Find the Bitizen""?"
354,"Water ""retaining"" light?"
1351,How can you go through single-height blocks?
736,What does the blue facemask on some of Drake's weapons represent?
82,When do I get a bigger office and can employ more people?
844,"What do Power, Technique, and Graffiti stats do?"
1131,How often do Booster Packs drop?
961,How can you get different types of monster spawners in minecraft
685,Where can I find the starter edition keys?
686,Where can I find Hunter's Journal Part 2?
1133,Where can I find Obsidian in the Pocket Edition?
1190,Portal 2 Offline Co-op on Mac
1542,How hard/expensive is it to set up and maintain a Dojo alone?
415,What is the difference between Black Souls and White Souls?
393,"In the ending, what happens to the boy and the girl?"
1459,Importing games back into steam
1162,Will wolves attack Ocelots?
90,Age Of Empires III : Lag in Multiplayer game ( LAN )
1382,What does rating a memory sequence do?
913,"What exactly defines a champ who ""falls off late"""
1058,What should I enchant my sharp chocolate sword with?
1048,What video card drivers are needed to play Minecraft with an integrated Intel GPU on Windows 8?
1454,What is a gib/gib kill?
97,"List of StarCraft II ""Detectors?"""
1547,How many daedric missions are there that give you armor as a reward?
1068,How do I breach the castle?
460,What is the best way to level up/get ingredients for smithing in Skyrim?
574,How can I run faster?
467,"Can I manually trigger a ""scenic"" sneak attack?"
1045,How does the ending fix anything?
138,Starting in World of Warcraft
16,Is it possible to play two different Steam games on the same account at the same time?
1262,Assasination Missions. How to invest money and make more money?
1295,How can I get inside the castle safely?
1016,Does Reincarnation allows skills to be passed into other classes
846,Does Multiplayer improve loot or just increase the amount of enemies and loot drops from them?
503,Mass Effect 3 Ending
256,What can I do with Dragon Bones and Scales?
1385,I got stung by bees in animal crossing new leaf
1194,Is it still possible to set your username in offline mode in Minecraft 1.6 and later?
510,Is there a finite amount of money in ME3?
141,Internal Exception: java.new.SocketTimeoutException: Read timed out
951,How do you defeat the Ancient Rock Wraith in the Deep Roads?
743,Diablo 3 J2ME Authenticator
303,Fastest way to get petty/lesser souls
396,How to get this trophée blocked by a destructible wall?
1375,At what point should i do the dlc for borderlands 2?
38,How do I find Dungeons in Minecraft?
735,Where can zombies spawn?
1552,what is that icon next to your name?
364,Is there any reason to use the fear spell over the calm spell?
1465,How do event bosses work?
937,StarCraft II - Can someone in Brazil use the European Server?
1436,How can I sell my equipment?
577,Is it possible to quickly switch between attack types?
1472,the capability to use external hard drive on xbox 360 is unlimited?
8,Defense Grid: more towers or upgrades?
888,How can I throttle Steam?
618,How much do I need to invest into the artisan to fully upgrade?
619,Dye-ing to know where to acquire dye
620,What are the pros and cons to Elective Mode in Diablo 3?
1215,What are the requirements for valid housing in Terraria 1.2
1166,Unlimited orange omega shield?
896,How does resetting work in Black Ops 2?
758,How to farm as an early lvl 60 in Diablo 3?
1281,Buying xBox / PS3 from US and using it in non-US region?
1073,What are tickets?
458,How do vehicles become disabled?
1069,Do floaters reappear later in the game?
295,My companion won't wear her armor
197,How does negative armour / magic resistance work?
1005,What type of buildings offer what level of jobs?
1004,What effects do choices in Wings of Liberty have in Heart of the Swarm?
257,How can I get rid of a bounty and keep my stolen items?
150,Is there an easy way to identify what's lootable and what isn't?
1212,How do I make one button rotate through multiple inputs?
1422,Can Dark Elixir be stored without a storage facility
177,How can I safely start playing The Witcher 2 without having played it's predecessor all the way through?
1473,Will I lose my League/Rank in Starcraft 2 due to inactivity?
750,Is there a way to buy cheap health potions?
751,"Can I enforce a time limit window on Steam games, notably Team Fortress 2?"
370,Why was I allowed to loot the Invarstead inn?
715,Wheel of Misfortune
1128,Is Dishonored an open-world game?
276,Skyrim PC respec via console
275,Is there a way to clear quests from your journal in skyrim
829,How do I get my preorder bonuses?
228,Do items in Binding of Isaac affect stats that are at max?
854,Does it matter if I open one or two doors?
855,Help with item stats!
337,How do I know who's a ho?
708,Does Whimsyshire drop better loot than other areas?
55,How can I move Steam games to another disk?
878,Is a PS3 backup transferable between hard drives?
194,How do I beat the Picus boss?
81,How do I get a mount as a paladin?
697,Do harder difficulties reduce your resistances?
554,What are the most important things for a newcomer to Leage of Legends learn?
1397,Pokemon X: The Detective?
650,When do set and legendary items start dropping?
823,How long does it take Tonila to get her gold back? Or is there a better way?
1435,Can't scroll through items in the item battle menu
568,How do I join multiplayer servers in Terraria?
63,What does Minecraft's scary music mean?
1173,"Does ""Unlocking the Sharpshooter"" affect assault rifles?"
426,How do you get the Angry Wings achievement in Jetpack Joyride?
567,What is the secret of the Cube Statues in Fez?
182,Do I need an official Hard Drive for Xbox 360?
1448,Is there any way to have kids on a console
1388,What does this icon do in dota 2?
1297,"I can't mine gold, diamonds, redstone, nothing"
398,What effect do the lesser character stats have?
1537,Minecraft went small
388,Houses in skyrim
487,How do I save Miranda?
1524,Does character level determine level of items crafted from legendary/set plans?
561,Can you romance Liara if you'd already been with someone else in ME2?
1373,XRay Mod for Minecraft 1.7.4and Installing Mods
251,Does using console command mark you as cheater?
1364,Redirecting nether portals
156,How can I change my clothes?
513,Where and when can I find Kasumi Goto in ME3?
1370,How can I trick Minecraft into thinking two computers are on the same wifi network?
28,Starcraft Installation asks for a mythical Disk 2
234,Do Unlocked Things Stay Unlocked After Paid Time Expires?
111,"What does ""genking"" mean?"
385,Is there a difference in effect between Black soul gems and others?
768,"Which is more important as a Monk, Dodge% or Block%?"
1000,Why can't I join my friend's server?
1098,How many seconds count until bomb detonates in Counter Strike?
1209,Which disc(s) should I install for Grand Theft Auto 5?
1208,"How to get rid of Steam items, especially coupons?"
1543,Can you become a werewolf vampire hybrid the second time you are trying to be werewolf?
356,Can I backup and restore my Skyrim saves if I plan on installing a new OS?
1315,Can you just say the order of the letter for the squirrels second question
1112,Why can't I log-in in my Minecraft launcher?
400,Getting rid of 1000 plus bounty
1154,Terrain based military upgrades - your terrain or the enemies'?
1221,Animals still escape their pens
384,Can followers be killed?
1535,Is it possible to lose a friend in GTAIV
340,Best way to level destruction?
911,How do I move my family to my new house?
1556,Where is the main quest
199,How can I change the bitrate when I watch a video with Netflix on a PS3?
119,How are all diminishing returns calculated in League of Legends?
514,Are Spectre or Veteran packs more cost effective?
590,What's an initiator?
1060,Monsters under my Minecraft bed!
1093,Is it possible to control the weather?
1360,What do houses require to advance?
1361,What's the maximum number of rank upgrades per level?
794,Faralda is not at the college
570,"What are the precise differences between ""playable"" and ""optimal""?"
1296,Minecraft login issue
610,Is there anyway to compare an item on the ground with an equipped item?
164,How can I improve my chances to find Hearts (Life Crystals)?
192,Where is my Minecraft folder on Windows?
191,What are some high level strategies for 2v2's?
909,Further skill points and levels in borderlands 2
1323,What happens after achieving L8 in Ingress?
899,"What is the cause of Error Code 118, and how can I resolve this?"
1312,Do monsters despawn in minecraft
263,How do you recharge an enchanted item?
174,How far away do portals need to be so that they don't go to the same place?
216,What do those abbreviations mean in League of Legends?
338,Playing Wii Without a TV
302,How do I get around the Esben bug
13,Is there a way to automatically skip the intro videos in Left 4 Dead?
1041,I still don't get when I win or lose at Caravan
962,How can I stop Steam from loading when I start my computer?
707,Does Diablo 3 weapon length increase the engagement distance?
717,How to orientate yourself down in caves?
716,At what quests/points in time do each of Deckard Cain's talk options become available?
870,"How to find the conversation ""Victory"" needed for the ""Everyone Loves Shen"" achievement (added in Patch 1.0.5)?"
1256,Where do I get the key for the first house?
5,How can I check if my computer's powerful enough to run a certain game?
93,How can I get out of the lava without dying?
778,"If I have two copies of the same game, can I Gift one of them?"
731,How do Rubies scale in weapons?
270,How do I make money efficiently?
968,Can you level down?
832,Collecting all skins and customizations
693,Building Barbarian in Inferno
692,Can you change the game's sound effects?
691,What is the cap for increase attack speed in Diablo 3?
1470,How to get the best enchantment on your pickaxe
797,Will the Hall of Monuments affect Guild Wars 2 after launch?
376,"In The Old Republic ship-based minigame, is there a way to destroy shielded targets?"
377,Armour ratings and armour values
803,What is the most profitable way to get rid of equipment?
971,Smart casting better then normal casting?
1331,Lydia unequipping armor when dismissed
802,"Are charisma, dignity and ferocity used for something besides NPC dialogs?"
790,What is the best way to earn experience in dragonvale?
1079,How to spawn slimes
1183,How to farm tall jungle trees?
392,"Skyrim ""You already have a follower"" issue"
1095,How does wielded weapon affect running speed?
75,How does zombie spawning in Die2Nite work?
1356,How many books can each home in Skyrim hold?
1418,"How do you complete the ""Phantom Prospect"" assignment?"
1551,How do you spread taint in Thaumcraft 4?
798,Will my Diablo 3 characters be deleted if I don't play them?
1399,How To Disable Action Animations When Firing?
1358,"Exactly how do crimson/corruption/hallow spread, and which blocks spread them?"
1450,Minecraft multiplayer
1410,Stealth Bomber won't fire on cities
172,Square Enix Soundtracks
816,Can NPCs drown?
694,How does armor stack with physical resistance?
1103,What is the formula for damage mitigation in Ingress?
136,Can you reset your Portal 2 coop progress?
940,Do nested/layered fields provide any advantage?
941,What can a new player do in a high level area?
495,Could I have saved Mordin?
1250,The squirrel's riddle - how many marks on the tree trunk?
1013,What's the advantage of cities in a region that aren't connected? Is it possible to connect them?
1460,Change difficulty
1053,How does one pump huge lakes of lava fast?
652,What does 1 intellect translate to damage for a wizard?
653,Where are all the waypoints?
440,"What are the various item colors, and what do they mean?"
599,What skills/runes can I use to maximize my monk's single/AOE DPS?
1381,What is the highest amount of Fortify Archery I can receive on a single item?
765,Minecraft Launcher Causing Black Screen and Laggy Cursor
452,How can I fix the auto-login to the Cerberus network (EA Online)
23,What are and how do I earn Feats of Strength in StarCraft 2
836,How do Goliath enemies work?
195,Do explosions destroy stuff?
952,How do I complete 'The United Federation'?
230,How do you recover socketed gems/runes from an item?
825,How do I unlock all the other ships in the hangar?
1443,How do you access the Shrine of Winter?
1144,"How to play ""together"" in Sims 3?"
85,What can I do to secure my towns/castles/hovels from climbing spiders?
1008,What bonus experience can you get?
734,Is there any way to tell which way an arcane sentry will fire when it starts up?
1317,Is Starbound the sequel to Terraria? or what is their relationship?
820,Is there now a cap on Gold Find % in Diablo 3?
576,What are all the status effects and what do they mean?
1366,Won't let me become guild master of the thieves guild
1507,How to disable play time tracking?
355,Where can I find low-level (platinum and below) replays?
489,As a sentinel how to kill a guardian
1006,How can I change my evolution once I picked it?
472,Where are the terminals for the Hanar Diplomat mission?
1563,Can I reset my followers' skills?
910,Civ5 Steam workaround
1417,Will adding Featherfalling to my protection 4 boots help?
449,What happens to skill levels gained via training if I use a Fateweaver?
922,Do dropped items in Ingress decay?
245,How do I find out the additional 3 effects of ingredients?
915,How do I determine what my TF2 items are worth?
914,Is it normal to continue levelling after reaching the level cap?
614,How can I save the game?
1387,"How do you unlock Yoda, R2-D2 or Darth Vader?"
934,Where is the prestige option on Jetpack Joyride?
1265,How do I unlock Disarm and Destroy?
726,Can I turn off chat auto-join?
1002,How to make fighting-related quick time events easier?
1249,Where can I get more lollipops?
898,What are the effects of Civilization V responses to other leaders?
1593,Do some skins influence gameplay?
627,How are attributes allocated?
775,How can I find Ore?
864,Does Torchlight 2 have a chance of disenchant like there was in the first Torchlight?
1421,Imperial Assignment - Shirt Reward
26,Has anyone had success with Voice Chat in StarCraft 2?
1137,Why can't I drop trading cards while playing TF2?
1269,Will the little character ever do anything if u drop enough candies in candy box 2?
1539,Minecraft xbox differences with PC
843,%increase of elemental effect chance
98,"Starcraft 2, how do I know how many games I played per race?"
57,Do units get some kind of bonus for being promoted?
298,What is the range of the T-UGS?
1202,How can I add more cars to the Special Vehicle list?
1203,Is there a way to switch off nether portals?
14,"Besides practicing, what are some great ways to become a better player?"
1038,Is there a difference between Adventure play after pass 2 In Plants vs. Zombies?
1368,Is there any way to restart the Tiny Death Star Holiday Decoration Event?
1394,How to find the xyz location of objects in minecraft?
885,Do passive mobs breed or respawn naturally in Minecraft?
886,How do I change ships?
188,Can I alter the biome of an area?
267,What do the different symbols on the map represent?
1479,"In FTL Advanced Edition, what can be gained from manning sensor or door subsystems?"
521,Does Shepard's background (Origin and Reputation) matter?
30,Good hero for a beginner?
532,How is the Space Eagle Highscore calculated?
287,Is my character ambidextrous?
1309,At what levels do heroes in Hearthstone earn gold cards?
863,Is there some trick to how (or who) to sacrifice in Boethiah's Calling?
994,Does the water table replenish?
645,How can I access the Auction House from out of game?
1224,How far do crimson/corruption biomes spread?
1211,Where do purchased cars appear?
255, How do Soul Gems work?
946,How do I get the 'On A Rail' achievement?
88,I'm stuck underground. How do I get back to the surface?
1195,How to get the Ender Dragon Egg to the Overworld
454,How can I get my redstone to activate adjacent pistons?
381,Datacron Locations
1584,College of Winterhold entry problem - Fear spell
33,Left 4 Dead 2 Special infected tips for Versus
1538,What does installing games through discs do to my xbox 360
1219,Can I download wow online
35,How to identify items without getting killed
1139,Does an asteroid missing the ship give XP to the pilot & engineer?
278,Can you craft your own spells in Skyrim?
113,Donkey Kong Country Returns
724,How does Download Later work?
1124,Comparison JNG-90 vs m98b vs M40A5 sniper bf3
1569,How do I unlock Shampoodle in Animal Crossing New Leaf?
53,What does 8-bit / 16-bit actually refer to?
1105,"What is Realms and why does it keep telling me ""No available servers""?"
71,Is there a stand-alone chat client for Battle.net?
1503,"Leveling taking ages in WoW, any tips?"
1502,How can screenshots/video taken from a 3DS XL be uploaded to a computer?
103,Faster ways to transfer resources & share control with other players?
137,How do you safely remove TNT?
130,What are the lyrics to the Turret Opera at the end of Portal 2?
534,The Paragon/Renegade option towards the end of Mass Effect 3 aren't opening up
547,Is Wriggle’s Lantern worth getting on an AD carry?
546,How to counter Karthus' ultimate?
727,Having a problem with lighting a large area
740,Gem slot search Auction house
738,"In Skyrim, what race is best suited for a mage, a juggernaught (warrior), and a thief?"
1496,Minecraft multiplayer: how to get rid of a bunch of ender dragons
529,Converting Minecraft .lvl to .dat
757,Can I politely stop an AI's Great Prophet from getting to my cities?
981,How do I check what upgrades my enemy has?
719,I keep having to unlock the same things over and over again for Battlefield 3
322,How can I improve Light Armor as an Archer?
204,Minecraft: Can I get the new 1.8 features on my old map?
463,Where to find specific monster items
781,Rare monster with a strange ability and a skull icon on top of it
729,"Does the ""Life on Hit"" affix work on channeled / DoT wizard spells?"
272,How to deal with riddler trophies
416,What colors of lightsaber are there (and where can I get them)?
1127,Damage of relocated jumps and dashes v2
1084,How do I unlock the museum collectibles in Puzzle Craft?
1582,What determines the power of weapon's Paralyze effect?
215,How do I gift my extra copy of Frozen Synapse that I received as part of the Humble Bundle?
447,No sound in TES:Arena under DOSBox
1447,How much memory does a block hold?
1451,Trying to get 29% fortify destruction
1512,How can I copy a Minecraft PE world to another device?
655,How to Change Difficulty in Diablo 3
239,Does MW3 support cross-platform multiplayer?
149,Civilization 5: The Wonder Years
1313,Can you set up an all-CPU-player game with no humans?
445,What are the different monster attributes?
1015,Cooperative game vs Multiplayer game
1189,Does the difficulty setting have any impact on the results of Interceptor dogfight?
890,What is this purple claw thing (Demon Altar) and what can I do with it?
1340,Minecrat forge 1.6.4 not running?
284,Where can you acquire massive amounts of Soul Gems?
745,What affixes does the comparison tooltip account for?
1135,Diablo 3 Spirit Stone
706,How to identify unidentified items in Diablo 3
290,What merchant has the most gold?
348,Dragons are buggy - how to resolve?
805,What rules are used to decide if a new item bought must replace an existing one?
44,How do I sell back a completed building in StarCraft 2?
859,Does using Shadow Kill lower your chaos level?
105,How do you get your Steam games to run on Ubuntu through Wine or something similar?
124,How long do dropped items of mobs (loot) stay?
684,How can I get dubbing or subtitles in Portal?
1468,How does the mundane infusion work?
474,Can you import someone else's Mass Effect 1/2 Save Game?
70,Hostile takeovers: Does your civilization receive the benefits of wonders?
76,Steam Wont Open Bioshock 2
3,How to map mutliple keys to a button in Half Life 2/Team Fortress 2?
179,What is an effective way to raise the water level on an entire world?
1049,How do you kill an Enderman without them teleporting?
1078,How do I enchant my sword?
512,Can i edit the readiness rating without playing multiplayer in Mass Effect 3?
799,How can I tell what type of damage an enemy is dealing?
1483,How is the fully stocked floor bonus calculated?
977,How can I start minecraft from a different folder via .bat file?
808,What are the consequences of my options with the little sisters?
1446,Hobo guy doesnt have Emo gloves in south Park: Stick of Truth
431,AC:R using mute effectively
1253,How do you kill the devil?
1590,Why can I only hear my friends?
1264,How do you get the purple shark fin?
598,Does having extra horses in your inventory speed up your party?
739,No pearl dragon - 15 pairings already
1232,What are the effects of Pokemon Amie in X and Y?
897,Is there a way to resolve this bug and make my house appear?
1494,How do I get rid of these huge black holes that are getting randomly generated in my minecraft world
1220,How do I change my character stats after starting in GTA Online?
39,How to route units in sc2?
927,How do I use my scorestreak?
591,Will I be able to complete Inferno without a group?
1091,True vault huntermode?
817,Is the consumable magic find buff multiplative or additive?
363,What is the trick to the final boss fight in Uncharted 3?
134,How to counter MMM-ball + Siege tanks as Zerg?
470,What alignment is Action Mode?
1109,Borderlands 2 sanctuary slots
1474,How much storage space is required to play Grand Theft Auto 5 on the Xbox 360?
391,What is a 2.5D dimension game?
1574,How do make a redstone signal select a random set of command blocks
1325,What is the highest amount of Lollipops per Second I can get?
318,Are Alchemy and Enchanting broken in Skyrim?
1561,How do I Make a FTB Server?
483,Point of no return?
560,How to play a region locked xbox 360 game and use my region's account on it?
1304,Does Assassin's Creed IV have a windowed or fake-fullscreen mode?
625,What does this blue asterisk/star indicate on top of an NPC?
1498,I started dragon assault DLC at low level came back at a high level
1466,What are the numbers next to player names?
184,Is the Golden Candy's only point being sold?
1550,Is it possible to get your loot from the Public Test Realm?
247,Skyrim Dungeons Respawn
246,What advantages do the different armor types provide?
923,Which Wii console version has GameCube compatibility?
457,"Skyrim - Killed a chicken in the first town, how screwed is my game?"
1289,How can I farm in World of Warcraft Wrath of the Lich King?
477,What advantages are there to high reputation?
478,"When can I start the ""From Ashes"" DLC?"
1332,What should I get before summoning the penguin mothership?
202,Do you need to play the entire Deus Ex saga to understand Deus Ex H.R.?
333,Can I use dagger stealth multiplier on a dragon?
1292,Do placed units increase in damage when you level up the ability?
1018,How do I play with others in neighbourhoods ... cannot access
1534,How is the damage reduction calculated from armor/mr?
258,Why is my archery skill lowered in the skills view?
1328,Does Minecraft require a constant Internet connection?
543,What do I need to do for a gold laurel wreath?
1528,Damage based on ult cast or on hit?
1141,#1 in bronze but still stuck there. Why?
852,What's honor for?
1235,Does the Keywarden in Act 4 randomly drop keys?
1187,Using mods in multiplayer
709,Does dropping my banner on the ground pull aggro?
108,Can't get Arcade's quest
77,Do I need two licenses to play StarCraft 2 multiplayer over a LAN?
1549,Gta5 Online Transfer from Xbox to Ps3
117,Escaping from League of Legends Elo Hell
193,What's the difference between the difficulty options?
1161,Is there any way of making a snow golem survive in hot biomes?
1059,"How to move ""1 day at a time"" with XCOM?"
118,Is there any way to start Steam in offline mode without logging in first?
904,Keep items in inventory on death in Minecraft
935,How do you obtain the grisly pointman title in Borderlands 2
430,Is there an easy way to figure out which DLCs have you bought already?
879,Does riding a pig consume hunger?
397,where can I find frost enchanted weapon
866,What determines if a soldier is gifted with psionic powers?
1575,My npc truffle will not spawn in Terraria
673,"Where can I find Rakanishu's blade, and where can I find Bashiok?"
542,Countering mordekaiser
1492,"When you discard cards in the beginning of the game, where do they go?"
508,How does the new 'Weight' Feature work?
752,Skyrim - Lost my unknown follower
753,I selected a different quest and now I can't get back to the quest I was on
170,PS3 keeps saying my WPA key is wrong
760,Where to find the wandering tinker's diary?
580,Are class-specific weapons better than other weapon?
789,How do I breed a blue fire dragon in Dragonvale?
1510,In borderlands two how do you get the boxs in sanctuary on in the cage in your house and the other by the fast travel station
306,Does light affect sneaking?
305,"What is the best obtainable gear in Heavy Armor, Light Armor and Clothing?"
289,Do sneak bonus damage modifiers affect magical/elemental and poison damage?
288,How do spells affect skill leveling?
1031,How can I define more than one spawn point?
1573,Both beds owned in Skyrim Hearthfire house?
845,"How long does ""Killer"" last?"
1276,I defeated the Wall of Flesh but hardmode wasn't activated
993,Redownloading gamer profile reset achievements
45,How to make a meager/decent/great dining room or bedroom?
607,How can I maximize my Magic Find?
378,Will installing a game on Xbox allow me to bypass a location at which the disc becomes unreadable?
379,Can I fortify skills above 100?
1371,"Feed the Beast Unleashed Server, Can't Keep Up Messages"
357,What is the fastest way to level up as an Enchanter?
701,Witch Doctor build for Inferno?
68,How do I counter the 7 roach rush build?
1558,How do I remove water from my base?
1268,How do I transfer Pokemon from Black 2 to X/Y?
1121,How much HP/MP you get with Vampire/Siphon/Balance runes?
37,what happens if there is no rock anywhere on the map?
1453,How can I level restoration quickly in skyrim?
429, Why has the Draugr Deathlord in Valthume stolen my sword and my shield?
120,Builds and strategy guides for champions
1480,How is effect precedence determined?
1117,How can I protect my creations from Endermen?
1377,How do i sync Xbox 360 Offline Achievement (Not connected to xbox live) that i completed to my xbox live account?
558,Attack moving or Attack Canceling
564,How do I check my depth on OS X?
675,How does the %damage property on a weapon work?
788,Humble Indie Bundle Soundtrack - CaveStory+
649,In what zone does each event occur in?
612,How do the Treasure Goblins work?
1391,Can I use red stone in pocket edition?
501,Characters have different weights depending on their race and sex. How does the weight (not Carry Weight/encumbrance) of a character affect the game?
261,How does choosing Imperials or Stormcloaks affect me later in the game?
1321,How can I get steam to recognize existing game files (Far Cry 3)?
293,How do I know what type of soul a creature has?
515,Can I view the outcomes of decisions from past games?
742,What's the most efficient way to farm recipes?
1419,"Manually copied Skyrim Steam Version to new computer, can't start game"
224,How does experience work in Dungeon Defenders?
339,Where can I find all of the Unusual Gems?
1214,What new NPCs are available in 1.2?
1359,Minecraft crashed with this report?
1255,What use are Chocolate Bars
755,Farkas/guards pursuing me glitch
243,How do I become a Werewolf?
315,What should I do with all these claws?
1204,I can't absorb Dragon souls
916,Does World Completion Title includes Dungeons?
754,Is there a way to locate Strategic Resources on the map?
135,Using touch screens with FPS
1310,What's the chance to find a wild shiny pokémon in X & Y?
1157,How do I find a Stronghold in Minecraft?
1108,Why would prices of created potions fall in Skyrim?
804,Is SCV pathing random or deterministic while building?
1486,How can I get flawless square gems to drop in Reaper of Souls?
1487,Where is my downloaded trailer?
1159,What happens if I purchase a building halfway through construction?
448,Why is my chance of theft discovery high even if a guard is nowhere near?
813,"How does ""Increases bonus experience"" on items work?"
812,Removing some hostile creatures in minecraft
814,More chances to get legendary items
557,How can I run Minecraft off of a USB stick?
571,How do I set a mouse button to a regular attack?
434,Why bother getting larger soul gems in Skyrim?
1529,Super Mario Bros. Cheat
540,The package colors on Draw Something doesn't work
539,What is the best way to encourage allies to ward more?
785,"""Early Access"" - What does this mean?"
982,What are the new units in Heart of the Swarm?
600,What skills from other party members affect witch doctor summons?
947,Why can't I buy electricity from an electricity -rich neighbour city in SimCity 4?
241,How do enemies and monsters level up?
1449,Embarking and disembarking
1180,Why does a dead Elder Dragon kept spawning where ever I go?
1380,Can you drop tier? (Season 4)
